stationId,date,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2017-01-01,6,6,5,5,1,1
aotizhongxin_aq,2017-01-02,6,6,5,3,1,1
aotizhongxin_aq,2017-01-03,6,6,6,5,1,1
aotizhongxin_aq,2017-01-04,6,6,5,5,1,1
aotizhongxin_aq,2017-01-05,6,5,5,4,1,1
aotizhongxin_aq,2017-01-06,6,0,5,4,1,1
aotizhongxin_aq,2017-01-07,5,0,3,2,1,1
aotizhongxin_aq,2017-01-08,1,0,2,1,1,1
aotizhongxin_aq,2017-01-09,3,2,2,1,1,1
aotizhongxin_aq,2017-01-10,3,2,3,6,1,1
aotizhongxin_aq,2017-01-11,2,2,4,2,1,1
aotizhongxin_aq,2017-01-12,3,2,6,0,1,1
aotizhongxin_aq,2017-01-13,1,1,2,0,1,1
aotizhongxin_aq,2017-01-14,2,2,3,0,1,1
aotizhongxin_aq,2017-01-15,4,3,3,0,1,1
aotizhongxin_aq,2017-01-16,5,4,4,0,1,1
aotizhongxin_aq,2017-01-17,6,3,4,0,1,1
aotizhongxin_aq,2017-01-18,4,3,3,2,1,1
aotizhongxin_aq,2017-01-19,6,2,1,1,1,1
aotizhongxin_aq,2017-01-20,3,2,3,1,1,1
aotizhongxin_aq,2017-01-21,1,1,1,1,1,1
aotizhongxin_aq,2017-01-22,2,1,2,1,1,1
aotizhongxin_aq,2017-01-23,3,2,3,2,1,1
aotizhongxin_aq,2017-01-24,6,3,4,3,1,1
aotizhongxin_aq,2017-01-25,6,0,5,3,1,2
aotizhongxin_aq,2017-01-26,6,3,3,2,1,1
aotizhongxin_aq,2017-01-27,6,6,3,2,2,2
aotizhongxin_aq,2017-01-28,6,6,3,2,1,2
aotizhongxin_aq,2017-01-29,1,1,1,1,1,1
aotizhongxin_aq,2017-01-30,3,2,2,1,6,1
aotizhongxin_aq,2017-01-31,3,2,2,1,1,1
aotizhongxin_aq,2017-02-01,1,1,1,1,2,1
aotizhongxin_aq,2017-02-02,5,4,4,2,1,2
aotizhongxin_aq,2017-02-03,6,5,5,3,1,2
aotizhongxin_aq,2017-02-04,6,6,4,2,1,2
aotizhongxin_aq,2017-02-05,1,1,1,1,2,1
aotizhongxin_aq,2017-02-06,2,2,2,1,1,1
aotizhongxin_aq,2017-02-07,5,3,3,2,1,1
aotizhongxin_aq,2017-02-08,1,1,1,1,2,1
aotizhongxin_aq,2017-02-09,1,1,1,1,2,1
aotizhongxin_aq,2017-02-10,1,1,2,1,1,1
aotizhongxin_aq,2017-02-11,4,3,3,1,1,1
aotizhongxin_aq,2017-02-12,6,5,5,3,1,2
aotizhongxin_aq,2017-02-13,5,3,4,2,1,1
aotizhongxin_aq,2017-02-14,6,5,5,3,1,1
aotizhongxin_aq,2017-02-15,6,0,5,3,1,2
aotizhongxin_aq,2017-02-16,2,1,2,1,1,1
aotizhongxin_aq,2017-02-17,3,3,2,1,1,1
aotizhongxin_aq,2017-02-18,5,4,4,2,1,1
aotizhongxin_aq,2017-02-19,4,3,2,1,1,1
aotizhongxin_aq,2017-02-20,2,2,2,1,1,1
aotizhongxin_aq,2017-02-21,4,2,2,1,1,1
aotizhongxin_aq,2017-02-22,4,1,2,1,1,1
aotizhongxin_aq,2017-02-23,2,6,3,1,1,1
aotizhongxin_aq,2017-02-24,1,1,2,1,1,1
aotizhongxin_aq,2017-02-25,1,1,2,1,1,1
aotizhongxin_aq,2017-02-26,3,2,3,1,1,1
aotizhongxin_aq,2017-02-27,3,2,4,1,1,1
aotizhongxin_aq,2017-02-28,1,1,2,1,2,1
aotizhongxin_aq,2017-03-01,1,6,2,1,2,1
aotizhongxin_aq,2017-03-02,4,3,4,2,1,1
aotizhongxin_aq,2017-03-03,5,4,3,2,1,1
aotizhongxin_aq,2017-03-04,5,3,4,2,6,1
aotizhongxin_aq,2017-03-05,1,1,2,1,2,1
aotizhongxin_aq,2017-03-06,1,1,2,1,2,1
aotizhongxin_aq,2017-03-07,1,1,1,1,2,1
aotizhongxin_aq,2017-03-08,1,1,2,1,2,1
aotizhongxin_aq,2017-03-09,1,1,3,1,1,1
aotizhongxin_aq,2017-03-10,3,3,4,1,1,1
aotizhongxin_aq,2017-03-11,2,2,2,1,2,1
aotizhongxin_aq,2017-03-12,1,1,1,1,2,1
aotizhongxin_aq,2017-03-13,1,1,1,1,2,1
aotizhongxin_aq,2017-03-14,2,2,3,1,1,1
aotizhongxin_aq,2017-03-15,5,4,4,2,1,1
aotizhongxin_aq,2017-03-16,5,4,3,1,1,1
aotizhongxin_aq,2017-03-17,6,5,5,2,1,1
aotizhongxin_aq,2017-03-18,6,5,4,2,2,1
aotizhongxin_aq,2017-03-19,6,5,4,2,2,1
aotizhongxin_aq,2017-03-20,6,5,4,2,1,1
aotizhongxin_aq,2017-03-21,5,4,3,1,1,1
aotizhongxin_aq,2017-03-22,6,5,4,2,1,1
aotizhongxin_aq,2017-03-23,5,0,3,2,1,1
aotizhongxin_aq,2017-03-24,3,0,3,1,1,1
aotizhongxin_aq,2017-03-25,2,1,2,1,2,1
aotizhongxin_aq,2017-03-26,1,1,2,1,6,1
aotizhongxin_aq,2017-03-27,2,2,3,1,1,1
aotizhongxin_aq,2017-03-28,4,3,3,1,1,1
aotizhongxin_aq,2017-03-29,6,6,4,1,1,1
aotizhongxin_aq,2017-03-30,4,3,2,1,1,1
aotizhongxin_aq,2017-03-31,1,2,2,1,1,1
aotizhongxin_aq,2017-04-01,3,3,3,1,1,1
aotizhongxin_aq,2017-04-02,5,4,4,1,1,1
aotizhongxin_aq,2017-04-03,6,4,3,1,2,1
aotizhongxin_aq,2017-04-04,5,4,3,1,6,1
aotizhongxin_aq,2017-04-05,4,3,2,1,1,1
aotizhongxin_aq,2017-04-06,5,4,2,1,2,1
aotizhongxin_aq,2017-04-07,5,4,4,1,1,1
aotizhongxin_aq,2017-04-08,4,4,3,1,1,1
aotizhongxin_aq,2017-04-09,4,3,3,1,1,1
aotizhongxin_aq,2017-04-10,4,3,3,1,1,1
aotizhongxin_aq,2017-04-11,1,2,2,1,1,1
aotizhongxin_aq,2017-04-12,2,3,3,1,1,1
aotizhongxin_aq,2017-04-13,4,4,4,1,1,1
aotizhongxin_aq,2017-04-14,3,4,4,1,1,1
aotizhongxin_aq,2017-04-15,2,3,3,1,1,1
aotizhongxin_aq,2017-04-16,6,5,4,1,1,1
aotizhongxin_aq,2017-04-17,5,5,6,1,1,1
aotizhongxin_aq,2017-04-18,2,3,2,1,1,1
aotizhongxin_aq,2017-04-19,3,3,4,1,1,1
aotizhongxin_aq,2017-04-20,3,2,2,1,1,1
aotizhongxin_aq,2017-04-21,2,2,2,1,1,1
aotizhongxin_aq,2017-04-22,3,3,2,1,2,1
aotizhongxin_aq,2017-04-23,1,2,1,1,2,1
aotizhongxin_aq,2017-04-24,2,2,1,1,2,1
aotizhongxin_aq,2017-04-25,1,2,2,1,1,1
aotizhongxin_aq,2017-04-26,1,2,2,1,1,1
aotizhongxin_aq,2017-04-27,2,2,2,1,1,1
aotizhongxin_aq,2017-04-28,2,2,2,1,1,1
aotizhongxin_aq,2017-04-29,3,3,3,1,1,1
aotizhongxin_aq,2017-04-30,3,4,2,1,2,1
aotizhongxin_aq,2017-05-01,2,3,3,1,1,1
aotizhongxin_aq,2017-05-02,5,4,3,1,2,1
aotizhongxin_aq,2017-05-03,5,6,2,2,2,1
aotizhongxin_aq,2017-05-04,6,6,2,0,2,1
aotizhongxin_aq,2017-05-05,4,5,2,0,1,1
aotizhongxin_aq,2017-05-06,3,3,3,0,1,1
aotizhongxin_aq,2017-05-07,2,4,3,0,2,1
aotizhongxin_aq,2017-05-08,3,4,2,0,2,1
aotizhongxin_aq,2017-05-09,3,3,2,0,2,1
aotizhongxin_aq,2017-05-10,3,3,3,0,2,1
aotizhongxin_aq,2017-05-11,3,5,2,0,1,1
aotizhongxin_aq,2017-05-12,3,5,2,0,2,1
aotizhongxin_aq,2017-05-13,2,2,2,0,2,1
aotizhongxin_aq,2017-05-14,1,2,2,0,2,1
aotizhongxin_aq,2017-05-15,2,2,2,0,2,1
aotizhongxin_aq,2017-05-16,3,3,2,0,2,1
aotizhongxin_aq,2017-05-17,5,4,3,0,3,1
aotizhongxin_aq,2017-05-18,5,5,6,0,4,1
aotizhongxin_aq,2017-05-28,3,6,2,1,2,1
aotizhongxin_aq,2017-05-29,2,2,6,1,2,1
aotizhongxin_aq,2017-05-31,2,3,2,1,3,1
aotizhongxin_aq,2017-06-01,2,2,2,1,2,1
aotizhongxin_aq,2017-06-02,2,2,2,1,1,1
aotizhongxin_aq,2017-06-03,2,2,2,1,2,1
aotizhongxin_aq,2017-06-04,3,3,2,1,2,1
aotizhongxin_aq,2017-06-05,3,3,2,1,2,1
aotizhongxin_aq,2017-06-06,3,2,2,1,1,1
aotizhongxin_aq,2017-06-07,2,2,3,1,2,1
aotizhongxin_aq,2017-06-08,2,2,3,1,1,1
aotizhongxin_aq,2017-06-09,2,3,2,1,2,1
aotizhongxin_aq,2017-06-10,1,2,2,1,2,1
aotizhongxin_aq,2017-06-11,2,2,3,1,2,1
aotizhongxin_aq,2017-06-12,2,2,2,1,2,1
aotizhongxin_aq,2017-06-13,3,2,3,1,1,1
aotizhongxin_aq,2017-06-14,2,2,3,1,2,1
aotizhongxin_aq,2017-06-15,3,3,3,1,6,1
aotizhongxin_aq,2017-06-16,3,4,2,1,3,1
aotizhongxin_aq,2017-06-17,5,4,2,1,3,1
aotizhongxin_aq,2017-06-18,3,4,2,1,3,1
aotizhongxin_aq,2017-06-19,2,2,2,1,3,1
