station_id,date,temperature,pressure,humidity,wind_direction,wind_speed
beijing_meo,2017-01-30,-3.72,1026.88,21.38,219.25,1.7
beijing_meo,2017-01-31,0.25,1027.15,18.08,150.83,2.28
beijing_meo,2017-02-01,-2.62,1032.3,27.25,83410.42,1.81
beijing_meo,2017-02-02,-1.44,1023.94,34.08,125028.96,1.06
beijing_meo,2017-02-03,1.35,1017.57,46.38,83387.54,0.94
beijing_meo,2017-02-04,3.3,1015.1,45.5,41842.17,1.64
beijing_meo,2017-02-05,4.15,1021.31,22.12,113.08,2.78
beijing_meo,2017-02-06,0.7,1028.79,32.83,200.0,1.85
beijing_meo,2017-02-07,-0.31,1026.68,53.17,83407.67,1.6
beijing_meo,2017-02-08,-0.48,1027.06,22.71,299.21,4.43
beijing_meo,2017-02-09,-0.62,1024.43,18.96,325.08,4.28
beijing_meo,2017-02-10,-0.65,1025.56,22.21,208365.21,2.55
beijing_meo,2017-02-11,1.44,1023.72,28.46,120.33,1.59
beijing_meo,2017-02-12,2.06,1023.39,39.04,98.62,1.48
beijing_meo,2017-02-13,4.15,1029.62,42.71,116.21,1.82
beijing_meo,2017-02-14,0.24,1026.06,72.83,67.17,1.3
beijing_meo,2017-02-15,4.05,1012.47,52.04,41714.38,1.23
beijing_meo,2017-02-16,4.35,1021.15,22.0,114.92,4.64
beijing_meo,2017-02-17,1.46,1024.68,27.21,251.92,2.3
beijing_meo,2017-02-18,4.39,1012.76,39.96,129.42,1.87
beijing_meo,2017-02-19,5.22,1012.38,23.62,49.75,4.64
beijing_meo,2017-02-20,0.55,1029.3,21.29,123.42,2.44
beijing_meo,2017-02-21,-2.07,1023.45,75.79,200.54,1.9
beijing_meo,2017-02-22,0.67,1021.81,54.96,41901.54,2.39
beijing_meo,2017-02-23,2.47,1023.54,42.42,166697.21,1.71
beijing_meo,2017-02-24,6.71,1020.71,28.04,41867.04,2.02
beijing_meo,2017-02-25,7.6,1019.28,31.21,200.33,2.15
beijing_meo,2017-02-26,6.59,1020.25,39.25,176.25,1.8
beijing_meo,2017-02-27,9.48,1016.13,31.04,139.88,1.74
beijing_meo,2017-02-28,10.9,1015.07,20.71,208.62,3.1
beijing_meo,2017-03-01,3.56,1021.34,17.91,176.43,3.81
beijing_meo,2017-03-02,7.29,1011.18,29.25,215.42,2.51
beijing_meo,2017-03-03,6.59,1012.08,38.04,83371.29,2.41
beijing_meo,2017-03-04,7.56,1014.73,30.42,134.54,2.11
beijing_meo,2017-03-05,4.92,1018.84,24.33,41828.75,2.68
beijing_meo,2017-03-06,4.2,1017.94,24.71,138.71,3.64
beijing_meo,2017-03-07,43481.64,44452.42,43500.52,87172.83,43481.13
beijing_meo,2017-03-08,7.05,1012.65,22.88,83509.42,2.2
beijing_meo,2017-03-09,9.3,1010.57,23.58,239.08,1.7
beijing_meo,2017-03-10,12.93,1012.38,20.88,83425.79,1.62
beijing_meo,2017-03-11,13.68,1016.39,17.5,214.04,3.52
beijing_meo,2017-03-12,8.42,1023.83,14.5,98.71,2.74
beijing_meo,2017-03-13,8.98,1022.19,19.62,200.04,1.61
beijing_meo,2017-03-14,9.48,1022.13,30.42,122.92,2.26
beijing_meo,2017-03-15,8.95,1017.87,35.5,153.79,1.9
beijing_meo,2017-03-16,10.9,1015.05,39.04,183.92,2.28
beijing_meo,2017-03-17,9.43,1016.33,58.25,83414.5,1.38
beijing_meo,2017-03-18,12.45,1020.88,46.92,116.38,1.91
beijing_meo,2017-03-19,12.72,1018.6,51.5,99.54,1.92
beijing_meo,2017-03-20,8.48,1020.6,61.96,41746.42,1.95
beijing_meo,2017-03-21,8.94,1018.6,54.38,187.88,1.89
beijing_meo,2017-03-22,10.45,1016.65,56.58,172.67,1.86
beijing_meo,2017-03-23,5.85,1021.11,75.33,95.46,1.84
beijing_meo,2017-03-24,2.83,1018.36,93.75,109.42,1.35
beijing_meo,2017-03-25,10.05,1016.85,39.96,292.17,2.5
beijing_meo,2017-03-26,9.79,1017.34,35.79,297.08,3.08
beijing_meo,2017-03-27,10.58,1017.77,30.12,228.75,2.09
beijing_meo,2017-03-28,10.89,1016.46,55.96,218.0,2.58
beijing_meo,2017-03-29,13.94,1014.99,52.08,41809.25,2.31
beijing_meo,2017-03-30,11.85,1021.97,38.46,41779.38,2.29
beijing_meo,2017-03-31,12.15,1018.09,30.46,41809.62,2.72
beijing_meo,2017-04-01,14.63,1012.8,28.54,126.29,2.34
beijing_meo,2017-04-02,15.61,1013.74,35.17,160.92,1.56
beijing_meo,2017-04-03,18.75,1012.57,42.5,156.5,2.15
beijing_meo,2017-04-04,15.9,1010.55,59.42,195.33,2.05
beijing_meo,2017-04-05,14.32,1007.75,68.29,159.38,2.31
beijing_meo,2017-04-06,17.67,1008.66,53.54,144.96,2.12
beijing_meo,2017-04-07,14.82,1009.71,59.25,133.21,1.36
beijing_meo,2017-04-08,13.12,1016.45,57.25,41781.38,2.15
beijing_meo,2017-04-09,14.12,1014.37,42.58,204.88,2.39
beijing_meo,2017-04-10,14.74,1006.84,44.71,184.88,2.67
beijing_meo,2017-04-11,14.29,1012.02,23.21,189.25,2.58
beijing_meo,2017-04-12,16.21,1009.34,24.67,83427.96,2.34
beijing_meo,2017-04-13,14.09,1003.0,45.08,173.12,1.78
beijing_meo,2017-04-14,19.28,1001.15,39.46,41786.21,2.23
beijing_meo,2017-04-15,23.37,1004.54,25.46,181.5,2.05
beijing_meo,2017-04-16,17.9,1003.45,58.58,41729.42,1.91
beijing_meo,2017-04-17,43497.83,44430.22,43501.39,43722.57,43481.14
beijing_meo,2017-04-18,17.51,1001.42,20.0,218.21,3.35
beijing_meo,2017-04-19,11.59,1005.68,58.92,162.0,1.59
beijing_meo,2017-04-20,17.82,1007.32,26.83,88.5,2.39
beijing_meo,2017-04-21,16.82,1010.1,33.62,169.54,2.56
beijing_meo,2017-04-22,20.6,1003.36,23.83,187.08,4.5
beijing_meo,2017-04-23,17.31,1005.68,36.33,112.62,2.62
beijing_meo,2017-04-24,18.58,1011.63,11.12,146.5,4.39
beijing_meo,2017-04-25,14.78,1018.25,23.0,202.33,2.03
beijing_meo,2017-04-26,17.11,1016.33,20.25,41892.0,2.53
beijing_meo,2017-04-27,20.64,1006.48,17.92,277.75,2.35
beijing_meo,2017-04-28,23.35,1001.02,22.96,41835.29,2.03
beijing_meo,2017-04-29,26.1,998.38,25.83,41829.58,2.89
beijing_meo,2017-04-30,21.66,1008.53,24.25,41789.29,2.09
beijing_meo,2017-05-01,20.64,1011.92,28.21,107.25,2.03
beijing_meo,2017-05-02,23.28,1010.93,42.0,143.46,1.9
beijing_meo,2017-05-03,20.46,1011.21,51.67,219.58,2.83
beijing_meo,2017-05-04,20.65,1009.32,26.88,230.67,3.25
