stationId,date,PM2_5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2017-01-01,6,6,3,3,1,1
aotizhongxin_aq,2017-01-02,5,3,3,2,1,1
aotizhongxin_aq,2017-01-03,6,6,3,3,1,1
aotizhongxin_aq,2017-01-04,6,5,3,3,1,1
aotizhongxin_aq,2017-01-05,5,3,3,3,1,1
aotizhongxin_aq,2017-01-06,5,0,3,2,1,1
aotizhongxin_aq,2017-01-07,3,0,2,1,1,1
aotizhongxin_aq,2017-01-08,1,0,1,1,1,1
aotizhongxin_aq,2017-01-09,2,2,2,1,1,1
aotizhongxin_aq,2017-01-10,2,2,2,1,1,1
aotizhongxin_aq,2017-01-11,1,1,3,1,1,1
aotizhongxin_aq,2017-01-12,2,2,2,0,1,1
aotizhongxin_aq,2017-01-13,1,1,1,0,1,1
aotizhongxin_aq,2017-01-14,1,1,2,0,1,1
aotizhongxin_aq,2017-01-15,2,2,2,0,1,1
aotizhongxin_aq,2017-01-16,3,2,3,0,1,1
aotizhongxin_aq,2017-01-17,4,2,2,0,1,1
aotizhongxin_aq,2017-01-18,2,2,2,1,1,1
aotizhongxin_aq,2017-01-19,1,2,1,1,1,1
aotizhongxin_aq,2017-01-20,2,2,2,1,1,1
aotizhongxin_aq,2017-01-21,1,1,1,1,1,1
aotizhongxin_aq,2017-01-22,1,1,2,1,1,1
aotizhongxin_aq,2017-01-23,2,2,2,1,1,1
aotizhongxin_aq,2017-01-24,4,2,3,2,1,1
aotizhongxin_aq,2017-01-25,5,0,3,2,1,1
aotizhongxin_aq,2017-01-26,4,2,2,2,1,1
aotizhongxin_aq,2017-01-27,6,5,2,1,1,2
aotizhongxin_aq,2017-01-28,5,3,2,1,1,2
aotizhongxin_aq,2017-01-29,1,1,1,1,1,1
aotizhongxin_aq,2017-01-30,2,2,1,1,1,1
aotizhongxin_aq,2017-01-31,2,1,2,1,1,1
aotizhongxin_aq,2017-02-01,1,1,1,1,1,1
aotizhongxin_aq,2017-02-02,3,2,3,2,1,1
aotizhongxin_aq,2017-02-03,5,3,3,2,1,2
aotizhongxin_aq,2017-02-04,5,4,2,6,1,1
aotizhongxin_aq,2017-02-05,1,1,1,1,1,1
aotizhongxin_aq,2017-02-06,1,1,6,1,1,1
aotizhongxin_aq,2017-02-07,3,2,2,1,1,1
aotizhongxin_aq,2017-02-08,1,1,1,1,1,1
aotizhongxin_aq,2017-02-09,1,1,1,1,1,1
aotizhongxin_aq,2017-02-10,1,1,1,1,1,1
aotizhongxin_aq,2017-02-11,2,2,2,1,1,1
aotizhongxin_aq,2017-02-12,4,3,3,2,1,2
aotizhongxin_aq,2017-02-13,3,2,6,1,1,1
aotizhongxin_aq,2017-02-14,5,3,3,2,1,1
aotizhongxin_aq,2017-02-15,6,0,3,2,1,2
aotizhongxin_aq,2017-02-16,1,1,1,1,1,1
aotizhongxin_aq,2017-02-17,2,2,2,1,1,1
aotizhongxin_aq,2017-02-18,3,2,3,1,1,1
aotizhongxin_aq,2017-02-19,2,2,1,1,1,1
aotizhongxin_aq,2017-02-20,1,1,2,1,1,1
aotizhongxin_aq,2017-02-21,2,2,2,1,1,1
aotizhongxin_aq,2017-02-22,2,1,2,1,1,1
aotizhongxin_aq,2017-02-23,1,1,2,1,1,1
aotizhongxin_aq,2017-02-24,1,1,2,1,1,1
aotizhongxin_aq,2017-02-25,1,1,2,1,1,1
aotizhongxin_aq,2017-02-26,2,2,2,1,1,1
aotizhongxin_aq,2017-02-27,2,2,2,1,1,1
aotizhongxin_aq,2017-02-28,1,1,1,1,1,1
aotizhongxin_aq,2017-03-01,1,1,1,1,1,1
aotizhongxin_aq,2017-03-02,2,2,3,1,1,1
aotizhongxin_aq,2017-03-03,3,2,2,1,1,1
aotizhongxin_aq,2017-03-04,3,2,3,1,1,1
aotizhongxin_aq,2017-03-05,1,1,1,1,1,1
aotizhongxin_aq,2017-03-06,1,1,1,1,1,1
aotizhongxin_aq,2017-03-07,1,1,1,1,1,1
aotizhongxin_aq,2017-03-08,1,1,1,1,1,1
aotizhongxin_aq,2017-03-09,1,1,2,1,1,1
aotizhongxin_aq,2017-03-10,2,2,3,1,1,1
aotizhongxin_aq,2017-03-11,1,2,1,1,1,1
aotizhongxin_aq,2017-03-12,1,1,1,1,1,1
aotizhongxin_aq,2017-03-13,1,1,1,1,1,1
aotizhongxin_aq,2017-03-14,6,2,2,1,1,1
aotizhongxin_aq,2017-03-15,3,2,3,1,1,1
aotizhongxin_aq,2017-03-16,3,2,2,1,1,1
aotizhongxin_aq,2017-03-17,6,3,3,1,1,1
aotizhongxin_aq,2017-03-18,5,3,6,1,1,1
aotizhongxin_aq,2017-03-19,5,3,3,1,1,1
aotizhongxin_aq,2017-03-20,4,3,2,1,1,1
aotizhongxin_aq,2017-03-21,3,2,2,1,1,1
aotizhongxin_aq,2017-03-22,5,3,3,1,1,1
aotizhongxin_aq,2017-03-23,3,0,2,1,1,1
aotizhongxin_aq,2017-03-24,2,0,2,1,1,1
aotizhongxin_aq,2017-03-25,1,1,1,1,1,1
aotizhongxin_aq,2017-03-26,1,1,1,1,1,1
aotizhongxin_aq,2017-03-27,1,2,2,1,1,1
aotizhongxin_aq,2017-03-28,2,2,2,1,1,1
aotizhongxin_aq,2017-03-29,4,6,2,1,1,1
aotizhongxin_aq,2017-03-30,2,2,2,1,1,1
aotizhongxin_aq,2017-03-31,1,1,2,1,1,1
aotizhongxin_aq,2017-04-01,2,2,2,1,1,1
aotizhongxin_aq,2017-04-02,3,2,3,1,1,1
aotizhongxin_aq,2017-04-03,4,2,2,1,1,1
aotizhongxin_aq,2017-04-04,3,2,2,1,1,1
aotizhongxin_aq,2017-04-05,2,2,2,1,1,1
aotizhongxin_aq,2017-04-06,3,2,2,1,1,1
aotizhongxin_aq,2017-04-07,3,2,2,1,1,1
aotizhongxin_aq,2017-04-08,2,2,2,1,1,1
aotizhongxin_aq,2017-04-09,2,2,2,1,1,1
aotizhongxin_aq,2017-04-10,2,2,2,1,1,1
aotizhongxin_aq,2017-04-11,1,2,2,1,1,1
aotizhongxin_aq,2017-04-12,1,2,2,1,1,1
aotizhongxin_aq,2017-04-13,2,2,3,1,1,1
aotizhongxin_aq,2017-04-14,2,2,2,1,1,1
aotizhongxin_aq,2017-04-15,2,2,2,1,1,1
aotizhongxin_aq,2017-04-16,4,3,3,1,1,1
aotizhongxin_aq,2017-04-17,3,3,2,1,1,1
aotizhongxin_aq,2017-04-18,2,2,2,1,1,1
aotizhongxin_aq,2017-04-19,2,2,2,1,1,1
aotizhongxin_aq,2017-04-20,2,2,1,1,1,1
aotizhongxin_aq,2017-04-21,1,2,1,1,1,1
aotizhongxin_aq,2017-04-22,2,2,1,1,1,1
aotizhongxin_aq,2017-04-23,1,1,1,1,1,1
aotizhongxin_aq,2017-04-24,1,1,1,1,1,1
aotizhongxin_aq,2017-04-25,1,1,2,1,1,1
aotizhongxin_aq,2017-04-26,1,1,1,1,1,1
aotizhongxin_aq,2017-04-27,1,2,2,1,1,1
aotizhongxin_aq,2017-04-28,1,2,2,1,1,1
aotizhongxin_aq,2017-04-29,2,2,2,1,1,1
aotizhongxin_aq,2017-04-30,2,2,2,1,1,1
aotizhongxin_aq,2017-05-01,1,2,2,1,1,1
aotizhongxin_aq,2017-05-02,3,2,2,1,1,1
aotizhongxin_aq,2017-05-03,3,3,6,1,1,1
aotizhongxin_aq,2017-05-04,0,0,1,0,1,1
aotizhongxin_aq,2017-05-05,2,3,1,0,1,1
aotizhongxin_aq,2017-05-06,2,2,2,0,1,1
aotizhongxin_aq,2017-05-07,6,2,2,0,1,1
aotizhongxin_aq,2017-05-08,2,2,2,0,1,1
aotizhongxin_aq,2017-05-09,2,2,1,0,1,1
aotizhongxin_aq,2017-05-10,2,2,2,0,1,1
aotizhongxin_aq,2017-05-11,2,3,1,0,1,1
aotizhongxin_aq,2017-05-12,2,3,1,0,1,1
aotizhongxin_aq,2017-05-13,1,2,1,0,1,1
aotizhongxin_aq,2017-05-14,1,2,1,0,1,1
aotizhongxin_aq,2017-05-15,1,2,1,0,1,1
aotizhongxin_aq,2017-05-16,2,2,6,0,1,1
aotizhongxin_aq,2017-05-17,3,2,2,0,1,1
aotizhongxin_aq,2017-05-18,3,6,2,0,3,1
aotizhongxin_aq,2017-05-28,2,2,1,1,1,1
aotizhongxin_aq,2017-05-29,1,2,1,1,1,1
aotizhongxin_aq,2017-05-31,1,2,1,1,2,1
aotizhongxin_aq,2017-06-01,1,1,1,1,1,1
aotizhongxin_aq,2017-06-02,1,6,1,1,1,1
aotizhongxin_aq,2017-06-03,1,2,2,1,1,1
aotizhongxin_aq,2017-06-04,2,2,2,1,1,1
aotizhongxin_aq,2017-06-05,2,2,2,1,1,1
aotizhongxin_aq,2017-06-06,2,1,1,1,1,1
aotizhongxin_aq,2017-06-07,2,2,2,1,1,1
aotizhongxin_aq,2017-06-08,1,2,2,1,1,1
aotizhongxin_aq,2017-06-09,1,2,2,1,1,1
aotizhongxin_aq,2017-06-10,1,2,1,1,1,1
aotizhongxin_aq,2017-06-11,1,2,2,1,1,1
aotizhongxin_aq,2017-06-12,1,2,2,1,1,1
aotizhongxin_aq,2017-06-13,2,2,2,1,1,1
aotizhongxin_aq,2017-06-14,1,2,2,1,1,1
aotizhongxin_aq,2017-06-15,2,2,2,1,1,1
aotizhongxin_aq,2017-06-16,2,2,2,1,2,1
aotizhongxin_aq,2017-06-17,3,2,1,1,6,1
aotizhongxin_aq,2017-06-18,2,2,1,1,2,1
aotizhongxin_aq,2017-06-19,1,2,1,1,1,1
aotizhongxin_aq,2017-06-20,1,2,1,1,1,1
aotizhongxin_aq,2017-06-21,6,2,1,1,1,1
aotizhongxin_aq,2017-06-22,1,1,1,1,1,1
aotizhongxin_aq,2017-06-23,1,1,1,1,1,1
aotizhongxin_aq,2017-06-24,1,1,1,1,1,1
aotizhongxin_aq,2017-06-25,1,1,2,1,1,1
aotizhongxin_aq,2017-06-26,1,2,2,1,1,1
aotizhongxin_aq,2017-06-27,2,2,2,1,1,1
aotizhongxin_aq,2017-06-28,3,2,2,1,1,1
aotizhongxin_aq,2017-06-29,2,2,1,1,1,1
aotizhongxin_aq,2017-06-30,2,2,2,1,1,1
aotizhongxin_aq,2017-07-01,3,2,2,1,2,1
aotizhongxin_aq,2017-07-08,3,2,2,1,1,1
aotizhongxin_aq,2017-07-09,1,1,1,1,1,1
aotizhongxin_aq,2017-07-10,1,1,2,1,1,1
aotizhongxin_aq,2017-07-11,2,2,2,1,2,1
aotizhongxin_aq,2017-07-12,3,2,1,1,6,1
aotizhongxin_aq,2017-07-13,0,2,1,1,1,1
aotizhongxin_aq,2017-07-14,2,2,1,1,1,1
aotizhongxin_aq,2017-07-15,2,2,2,1,1,1
aotizhongxin_aq,2017-07-16,2,2,1,1,1,1
aotizhongxin_aq,2017-07-17,2,2,1,1,1,1
aotizhongxin_aq,2017-07-18,2,2,1,1,1,1
aotizhongxin_aq,2017-07-19,2,2,1,1,1,1
aotizhongxin_aq,2017-07-20,3,2,1,1,1,1
aotizhongxin_aq,2017-07-21,1,1,1,1,1,1
aotizhongxin_aq,2017-07-22,1,1,1,1,1,1
aotizhongxin_aq,2017-07-23,2,2,2,1,1,1
aotizhongxin_aq,2017-07-24,1,6,2,1,1,1
aotizhongxin_aq,2017-07-25,1,2,1,1,1,1
aotizhongxin_aq,2017-07-26,1,1,2,1,1,1
aotizhongxin_aq,2017-07-27,2,2,2,1,1,1
aotizhongxin_aq,2017-07-28,1,2,2,1,1,1
aotizhongxin_aq,2017-07-29,1,2,1,1,1,1
aotizhongxin_aq,2017-07-30,2,2,6,1,1,1
aotizhongxin_aq,2017-07-31,3,2,1,1,2,1
aotizhongxin_aq,2017-08-01,2,2,1,1,1,1
aotizhongxin_aq,2017-08-02,1,2,1,1,1,1
aotizhongxin_aq,2017-08-03,1,2,1,1,1,1
aotizhongxin_aq,2017-08-04,1,1,2,1,1,1
aotizhongxin_aq,2017-08-05,1,2,1,1,1,1
aotizhongxin_aq,2017-08-06,1,1,2,1,1,1
aotizhongxin_aq,2017-08-07,1,2,1,1,1,1
aotizhongxin_aq,2017-08-08,1,2,1,1,1,1
aotizhongxin_aq,2017-08-09,2,1,2,1,1,1
aotizhongxin_aq,2017-08-10,2,2,2,1,1,1
aotizhongxin_aq,2017-08-11,2,2,2,1,1,1
aotizhongxin_aq,2017-08-12,2,1,2,1,1,1
aotizhongxin_aq,2017-08-13,1,1,2,1,1,1
aotizhongxin_aq,2017-08-14,1,1,1,1,1,1
aotizhongxin_aq,2017-08-15,2,2,2,1,1,1
aotizhongxin_aq,2017-08-16,2,2,2,1,1,1
aotizhongxin_aq,2017-08-17,1,2,2,1,1,1
aotizhongxin_aq,2017-08-18,2,2,2,1,1,1
